,Name,Department,EOW,Cause of Death,Date,Year,Canine,Department Name,State
3242,Deputy Sheriff John Branson,"Mayes County Sheriff's Office, OK","Sunday, August 13, 1911",Animal related,1911-08-13,1911,False,Mayes County Sheriff's Office, OK
3243,Detective Frank Fraser,"St. Paul Police Department, MN","Monday, August 14, 1911",Gunfire,1911-08-14,1911,False,St. Paul Police Department, MN
3244,Town Marshal William Henry Newberry,"Jakin Marshal's Office, GA","Tuesday, August 15, 1911",Gunfire,1911-08-15,1911,False,Jakin Marshal's Office, GA
3245,Chief of Police William R. White,"Williamston Police Department, NC","Tuesday, August 15, 1911",Gunfire,1911-08-15,1911,False,Williamston Police Department, NC
3246,Marshal George M. Butcher,"Missouri Valley Police Department, IA","Wednesday, August 16, 1911",Gunfire,1911-08-16,1911,False,Missouri Valley Police Department, IA
3247,Constable Robert G. Chastain,"Ullin Police Department, IL","Saturday, August 19, 1911",Gunfire,1911-08-19,1911,False,Ullin Police Department, IL
3248,Patrolman Walter Chapman,"Cleveland Police Department, OH","Tuesday, August 22, 1911",Gunfire,1911-08-22,1911,False,Cleveland Police Department, OH
3249,Police Officer Franklin M. Smith,"Detroit Police Department, MI","Thursday, August 24, 1911",Struck by vehicle,1911-08-24,1911,False,Detroit Police Department, MI
3250,Marshal J. Henry Clemens,"Maryville Police Department, TN","Friday, August 25, 1911",Gunfire,1911-08-25,1911,False,Maryville Police Department, TN
3251,Patrolman Homer L. Darling,"Kansas City Police Department, MO","Saturday, August 26, 1911",Motorcycle accident,1911-08-26,1911,False,Kansas City Police Department, MO
3252,Deputy Sheriff George Lester Fain,"Clay County Sheriff's Office, GA","Monday, August 28, 1911",Assault,1911-08-28,1911,False,Clay County Sheriff's Office, GA
3253,Patrolman Charles E. Schaeffer,"Buffalo Police Department, NY","Wednesday, September 6, 1911",Gunfire,1911-09-06,1911,False,Buffalo Police Department, NY
3254,Patrolman John W. Kissinger,"Reading Police Department, PA","Saturday, September 16, 1911",Gunfire,1911-09-16,1911,False,Reading Police Department, PA
3255,Deputy George L. Duncan,"Travis County Sheriff's Office, TX","Saturday, September 23, 1911",Gunfire,1911-09-23,1911,False,Travis County Sheriff's Office, TX
3256,Sheriff William D. Preston,"Desha County Sheriff's Office, AR","Tuesday, September 26, 1911",Gunfire,1911-09-26,1911,False,Desha County Sheriff's Office, AR
3257,Deputy Sheriff Barney Stiel,"Pulaski County Sheriff's Office, AR","Tuesday, September 26, 1911",Gunfire,1911-09-26,1911,False,Pulaski County Sheriff's Office, AR
3258,Patrolman Harry C. Smith,"Toledo Police Department, OH","Wednesday, September 27, 1911",Assault,1911-09-27,1911,False,Toledo Police Department, OH
3259,Deputy Constable Thomas Frederick Mounger,"Grayson County Constable's Office - Precinct 1, TX","Wednesday, September 27, 1911",Gunfire,1911-09-27,1911,False,Grayson County Constable's Office - Precinct 1, TX
3260,"Special Officer James Jebty ""J.J."" Pipes","Southern Pacific Railroad Police Department, RR","Monday, October 2, 1911",Gunfire (Accidental),1911-10-02,1911,False,Southern Pacific Railroad Police Department, RR
3261,Deputy Sheriff Oland Collins,"Bell County Sheriff's Department, KY","Tuesday, October 3, 1911",Gunfire,1911-10-03,1911,False,Bell County Sheriff's Department, KY
3262,Deputy Sheriff Sam Collins,"Bell County Sheriff's Department, KY","Tuesday, October 3, 1911",Gunfire,1911-10-03,1911,False,Bell County Sheriff's Department, KY
3263,Village Marshal Charles A. Rose,"Kampsville Police Department, IL","Saturday, October 14, 1911",Stabbed,1911-10-14,1911,False,Kampsville Police Department, IL
3264,Deputy Sheriff Brown Horton,"Tuscaloosa County Sheriff's Department, AL","Monday, October 23, 1911",Gunfire,1911-10-23,1911,False,Tuscaloosa County Sheriff's Department, AL
3265,Mounted Policeman John Henry Pollock,"Gloversville Police Department, NY","Friday, October 27, 1911",Gunfire,1911-10-27,1911,False,Gloversville Police Department, NY
3266,Officer Redden George Purdie,"Shelbyville Police Department, TN","Tuesday, October 31, 1911",Gunfire,1911-10-31,1911,False,Shelbyville Police Department, TN
3267,Officer Charles Armstrong Henry,"Shelbyville Police Department, TN","Tuesday, October 31, 1911",Gunfire,1911-10-31,1911,False,Shelbyville Police Department, TN
3268,Patrolman Joseph Lacoste,"New Orleans Police Department, LA","Wednesday, November 1, 1911",Gunfire,1911-11-01,1911,False,New Orleans Police Department, LA
3269,Patrolman Alfred Evans,"Youngstown Police Department, OH","Sunday, November 5, 1911",Gunfire,1911-11-05,1911,False,Youngstown Police Department, OH
3270,Sheriff John McInnis,"Jefferson County Sheriff's Department, WA","Sunday, November 5, 1911",Drowned,1911-11-05,1911,False,Jefferson County Sheriff's Department, WA
3271,Patrolman William H. Galbraith,"New York City Police Department, NY","Wednesday, November 8, 1911",Animal related,1911-11-08,1911,False,New York City Police Department, NY
3272,Detective Thomas Madden,"Baltimore and Ohio Railroad Police Department, RR","Tuesday, November 14, 1911",Struck by train,1911-11-14,1911,False,Baltimore and Ohio Railroad Police Department, RR
3273,Special Patrolman Francis M. Blair,"Whitesburg Police Department, KY","Wednesday, November 15, 1911",Gunfire,1911-11-15,1911,False,Whitesburg Police Department, KY
3274,Chief of Police J. B. Hare,"Baton Rouge City Police Department, LA","Thursday, November 16, 1911",Gunfire,1911-11-16,1911,False,Baton Rouge City Police Department, LA
3275,"Deputy Sheriff Joseph S. ""Joe"" Brannin","Sweet Grass County Sheriff's Department, MT","Thursday, November 16, 1911",Gunfire,1911-11-16,1911,False,Sweet Grass County Sheriff's Department, MT
3276,Deputy Sheriff Frank Lewis Yeager,"Oklahoma County Sheriff's Office, OK","Thursday, November 16, 1911",Gunfire,1911-11-16,1911,False,Oklahoma County Sheriff's Office, OK
3277,Deputy Sheriff Daniel Stanley Hansford,"Calhoun County Sheriff's Office, FL","Friday, November 17, 1911",Gunfire,1911-11-17,1911,False,Calhoun County Sheriff's Office, FL
3278,Deputy Sheriff Thomas H. Hall,"Luna County Sheriff's Department, NM","Friday, November 17, 1911",Gunfire,1911-11-17,1911,False,Luna County Sheriff's Department, NM
3279,Deputy Sheriff A. L. Smithers,"Luna County Sheriff's Department, NM","Friday, November 17, 1911",Gunfire,1911-11-17,1911,False,Luna County Sheriff's Department, NM
3280,Police Officer Wade Hampton Patterson,"Aiken Department of Public Safety, SC","Friday, November 17, 1911",Gunfire,1911-11-17,1911,False,Aiken Department of Public Safety, SC
3281,Custody Officer Hiram B. McWilliams,"Indiana Department of Correction, IN","Wednesday, November 22, 1911",Assault,1911-11-22,1911,False,Indiana Department of Correction, IN
3282,Sheriff John E. Webster,"Hancock County Sheriff's Department, ME","Wednesday, November 22, 1911",Drowned,1911-11-22,1911,False,Hancock County Sheriff's Department, ME
3283,Deputy Sheriff Edwin T. Finn,"Hancock County Sheriff's Department, ME","Wednesday, November 22, 1911",Drowned,1911-11-22,1911,False,Hancock County Sheriff's Department, ME
3284,Deputy Constable William Blake,"Shasta County Constable's Office, CA","Saturday, November 25, 1911",Gunfire,1911-11-25,1911,False,Shasta County Constable's Office, CA
3285,Officer Charles F. Castor,"San Francisco Police Department, CA","Sunday, November 26, 1911",Gunfire,1911-11-26,1911,False,San Francisco Police Department, CA
3286,Patrolman Theodore E. Gerischer,"Muscatine Police Department, IA","Sunday, November 26, 1911",Gunfire,1911-11-26,1911,False,Muscatine Police Department, IA
3287,Constable Charles A. Holloway,"Wilbarger County Constable's Office - Precinct 7, TX","Sunday, November 26, 1911",Gunfire,1911-11-26,1911,False,Wilbarger County Constable's Office - Precinct 7, TX
3288,Officer Thomas Finnelly,"San Francisco Police Department, CA","Monday, November 27, 1911",Gunfire,1911-11-27,1911,False,San Francisco Police Department, CA
3289,Policeman James P. Wylie,"Los Angeles Police Department, CA","Monday, November 27, 1911",Automobile accident,1911-11-27,1911,False,Los Angeles Police Department, CA
3290,Special Policeman Victor C. Benner,"Illinois Central Railroad Police Department, RR","Thursday, December 7, 1911",Gunfire,1911-12-07,1911,False,Illinois Central Railroad Police Department, RR
3291,Sheriff George E. Moody,"Richland County Sheriff's Department, ND","Saturday, December 9, 1911",Gunfire,1911-12-09,1911,False,Richland County Sheriff's Department, ND
3292,Patrolman Charles Franklin Lippincott,"Asbury Park Police Department, NJ","Sunday, December 10, 1911",Gunfire,1911-12-10,1911,False,Asbury Park Police Department, NJ
3293,Deputy U.S. Marshal George W. Dillaway,"United States Department of Justice - United States Marshals Service, US","Thursday, December 14, 1911",Gunfire,1911-12-14,1911,False,United States Department of Justice - United States Marshals Service, US
3294,Police Officer Robert E. Yates,"Plant City Police Department, FL","Saturday, December 16, 1911",Gunfire,1911-12-16,1911,False,Plant City Police Department, FL
3295,Undersheriff Orville Bitle,"Rosebud County Sheriff's Office, MT","Saturday, December 16, 1911",Gunfire,1911-12-16,1911,False,Rosebud County Sheriff's Office, MT
3296,Night Policeman Charles E. Brockman,"Fort Collins Police Services, CO","Sunday, December 17, 1911",Gunfire,1911-12-17,1911,False,Fort Collins Police Services, CO
3297,Town Marshal Charles Abner Roberts,"Donalsonville Police Department, GA","Saturday, December 23, 1911",Gunfire,1911-12-23,1911,False,Donalsonville Police Department, GA
3298,"Deputy Marshal Elijah F. ""Lige"" Hoskins","Crab Orchard Police Department, KY","Sunday, December 24, 1911",Gunfire,1911-12-24,1911,False,Crab Orchard Police Department, KY
3299,Policeman Floyd C. Eiler,"Los Angeles Police Department, CA","Monday, December 25, 1911",Gunfire,1911-12-25,1911,False,Los Angeles Police Department, CA
3300,Marshal Ernest M. Brown,"Lakeview Police Department, OR","Sunday, December 31, 1911",Gunfire,1911-12-31,1911,False,Lakeview Police Department, OR
3301,Patrolman William A. Patterson,"Alabama City Police Department, AL","Monday, January 1, 1912",Gunfire,1912-01-01,1912,False,Alabama City Police Department, AL
3302,Deputy Sheriff J. P. Chandler,"Poinsett County Sheriff's Department, AR","Sunday, January 7, 1912",Gunfire,1912-01-07,1912,False,Poinsett County Sheriff's Department, AR
3303,Deputy Simon J. Bermingham,"Monroe County Sheriff's Office, NY","Wednesday, January 10, 1912",Gunfire,1912-01-10,1912,False,Monroe County Sheriff's Office, NY
3304,Officer Alexander Knapp,"Albuquerque Police Department, NM","Monday, January 15, 1912",Gunfire,1912-01-15,1912,False,Albuquerque Police Department, NM
3305,Police Officer James R. Dodd,"Fort Worth Police Department, TX","Saturday, January 27, 1912",Duty related illness,1912-01-27,1912,False,Fort Worth Police Department, TX
3306,Deputy Constable Otto W. Hennech,"Williamson County Constable's Office - Precinct 6, TX","Monday, February 5, 1912",Stabbed,1912-02-05,1912,False,Williamson County Constable's Office - Precinct 6, TX
3307,Railroad Detective S. W. Everson,"Nashville, Chattanooga and St. Louis Railroad Police Department, RR","Saturday, February 10, 1912",Assault,1912-02-10,1912,False,"Nashville, Chattanooga and St. Louis Railroad Police Department", RR
3308,Deputy Warden Edward D. Davis,"Nebraska Department of Correctional Services, NE","Sunday, February 11, 1912",Stabbed,1912-02-11,1912,False,Nebraska Department of Correctional Services, NE
3309,Patrolman Lee Barker,"Owensboro Police Department, KY","Wednesday, February 14, 1912",Heart attack,1912-02-14,1912,False,Owensboro Police Department, KY
3310,Undersheriff William H. Abbott,"Cleveland County Sheriff's Office, OK","Saturday, February 17, 1912",Gunfire,1912-02-17,1912,False,Cleveland County Sheriff's Office, OK
3311,Policeman Joseph Dolphin,"Philadelphia Police Department, PA","Saturday, February 17, 1912",Struck by vehicle,1912-02-17,1912,False,Philadelphia Police Department, PA
3312,Guard Archer Thomas Belcher,"Virginia Department of Corrections, VA","Saturday, February 17, 1912",Assault,1912-02-17,1912,False,Virginia Department of Corrections, VA
3313,Railroad Detective Joseph M. Kroskey,"Atchison, Topeka and Santa Fe Railroad Police Department, RR","Thursday, February 22, 1912",Gunfire,1912-02-22,1912,False,"Atchison, Topeka and Santa Fe Railroad Police Department", RR
3314,Deputy Sheriff William Dobson,"Pinal County Sheriff's Office, AZ","Friday, March 1, 1912",Gunfire,1912-03-01,1912,False,Pinal County Sheriff's Office, AZ
3315,Patrolman Porter Sanders,"Shreveport Police Department, LA","Friday, March 1, 1912",Gunfire,1912-03-01,1912,False,Shreveport Police Department, LA
3316,Deputy Sheriff Colin M'Kenzie,"Grays Harbor County Sheriff's Office, WA","Saturday, March 9, 1912",Gunfire,1912-03-09,1912,False,Grays Harbor County Sheriff's Office, WA
3317,Deputy Sheriff Albert V. Elmer,"Grays Harbor County Sheriff's Office, WA","Saturday, March 9, 1912",Gunfire,1912-03-09,1912,False,Grays Harbor County Sheriff's Office, WA
3318,Policeman William McPherson,"Denver Police Department, CO","Tuesday, March 12, 1912",Gunfire,1912-03-12,1912,False,Denver Police Department, CO
3319,Correctional Officer E. G. Heilman,"Nebraska Department of Correctional Services, NE","Thursday, March 14, 1912",Gunfire,1912-03-14,1912,False,Nebraska Department of Correctional Services, NE
3320,Warden James Delahunty,"Nebraska Department of Correctional Services, NE","Thursday, March 14, 1912",Gunfire,1912-03-14,1912,False,Nebraska Department of Correctional Services, NE
3321,Deputy Warden Henry Wagner,"Nebraska Department of Correctional Services, NE","Thursday, March 14, 1912",Gunfire,1912-03-14,1912,False,Nebraska Department of Correctional Services, NE
3322,Sheriff Lewis F. Webb,"Carroll County Sheriff's Office, VA","Thursday, March 14, 1912",Gunfire,1912-03-14,1912,False,Carroll County Sheriff's Office, VA
3323,Police Officer Thomas C. Borden,"Long Beach Police Department, CA","Sunday, March 17, 1912",Gunfire,1912-03-17,1912,False,Long Beach Police Department, CA
3324,Officer John J. Nolan,"San Francisco Police Department, CA","Tuesday, March 19, 1912",Fall,1912-03-19,1912,False,San Francisco Police Department, CA
3325,Guard Joseph Coody,"Georgia Department of Corrections, GA","Thursday, March 21, 1912",Assault,1912-03-21,1912,False,Georgia Department of Corrections, GA
3326,Officer John E. McKinney,"Indianapolis Police Department, IN","Thursday, March 28, 1912",Gunfire,1912-03-28,1912,False,Indianapolis Police Department, IN
3327,Sheriff J. Myron Miller,"Cecil County Sheriff's Office, MD","Saturday, March 30, 1912",Gunfire,1912-03-30,1912,False,Cecil County Sheriff's Office, MD
3328,Detective Patrick Andrew Carr,"Fort Smith Police Department, AR","Monday, April 1, 1912",Gunfire,1912-04-01,1912,False,Fort Smith Police Department, AR
3329,Police Officer Edward L. Spielman,"Chicago and Northwestern Railroad Police Department, RR","Tuesday, April 9, 1912",Gunfire,1912-04-09,1912,False,Chicago and Northwestern Railroad Police Department, RR
3330,Constable Walter Reed,"Inyo County Sheriff's Department, CA","Sunday, April 14, 1912",Gunfire,1912-04-14,1912,False,Inyo County Sheriff's Department, CA
3331,Chief of Police Abe Bledsoe,"Cleburne Police Department, TX","Monday, April 15, 1912",Structure collapse,1912-04-15,1912,False,Cleburne Police Department, TX
3332,Police Officer Charles A. Williams,"Oakland Police Department, CA","Sunday, April 21, 1912",Gunfire,1912-04-21,1912,False,Oakland Police Department, CA
3333,Railroad Detective Philip Kelley,"Wabash Railway Police Department, RR","Sunday, April 28, 1912",Struck by train,1912-04-28,1912,False,Wabash Railway Police Department, RR
3334,Village Marshal George Claude Kloster,"Wyoming Police Department, OH","Friday, May 3, 1912",Gunfire,1912-05-03,1912,False,Wyoming Police Department, OH
3335,Patrolman Caswell S. Matthews,"Topeka Police Department, KS","Sunday, May 5, 1912",Gunfire,1912-05-05,1912,False,Topeka Police Department, KS
3336,Town Marshal Jasper Westfall,"Westfall Marshal's Office, OR","Friday, May 10, 1912",Gunfire,1912-05-10,1912,False,Westfall Marshal's Office, OR
3337,Deputy Sheriff Charles H. Slaughter,"Alachua County Sheriff's Office, FL","Saturday, May 11, 1912",Gunfire,1912-05-11,1912,False,Alachua County Sheriff's Office, FL
3338,Deputy Antonio Anguiano,"Duval County Sheriff's Office, TX","Saturday, May 18, 1912",Gunfire,1912-05-18,1912,False,Duval County Sheriff's Office, TX
3339,Patrolman Frank Ford,"Rochester Police Department, NY","Wednesday, May 29, 1912",Gunfire,1912-05-29,1912,False,Rochester Police Department, NY
3340,Patrolman J. Coleman Dawson,"Owensboro Police Department, KY","Saturday, June 1, 1912",Gunfire,1912-06-01,1912,False,Owensboro Police Department, KY
3341,Town Marshal J. Matt Willard,"Flovilla Marshal's Office, GA","Sunday, June 2, 1912",Gunfire,1912-06-02,1912,False,Flovilla Marshal's Office, GA
3342,Police Officer Louis Schnarr,"St. Louis Metropolitan Police Department, MO","Monday, June 3, 1912",Gunfire,1912-06-03,1912,False,St. Louis Metropolitan Police Department, MO
3343,Detective Frank Welch,"Aberdeen Police Department, WA","Tuesday, June 4, 1912",Gunfire,1912-06-04,1912,False,Aberdeen Police Department, WA
3344,Patrolman James Blake Myers,"Greenville Police Department, MS","Friday, June 7, 1912",Gunfire,1912-06-07,1912,False,Greenville Police Department, MS
3345,Deputy Constable James Singleton,"Harris County Constable's Office, TX","Saturday, June 8, 1912",Vehicle pursuit,1912-06-08,1912,False,Harris County Constable's Office, TX
3346,Special Officer George W. Greenstreet,"Atchison, Topeka and Santa Fe Railroad Police Department, RR","Monday, June 17, 1912",Struck by train,1912-06-17,1912,False,"Atchison, Topeka and Santa Fe Railroad Police Department", RR
3347,Patrolman Thomas E. O'Connell,"New York City Police Department, NY","Monday, June 17, 1912",Assault,1912-06-17,1912,False,New York City Police Department, NY
3348,Patrolman Edward Parker,"Cleveland Police Department, OH","Wednesday, June 19, 1912",Gunfire,1912-06-19,1912,False,Cleveland Police Department, OH
3349,Marshal Daniel C. Hansen,"Cokeville Police Department, WY","Friday, June 21, 1912",Gunfire,1912-06-21,1912,False,Cokeville Police Department, WY
3350,Patrolman John M. Taylor,"Memphis Police Department, TN","Saturday, June 22, 1912",Gunfire,1912-06-22,1912,False,Memphis Police Department, TN
3351,Deputy Constable Elbert Norton Hanks,"Navarro County Constable's Office, TX","Tuesday, June 25, 1912",Gunfire,1912-06-25,1912,False,Navarro County Constable's Office, TX
3352,Policeman Thomas Dowling,"Philadelphia Police Department, PA","Wednesday, June 26, 1912",Gunfire,1912-06-26,1912,False,Philadelphia Police Department, PA
3353,Town Sergeant Oscar Miller Martin,"New Castle Police Department, VA","Thursday, June 27, 1912",Gunfire,1912-06-27,1912,False,New Castle Police Department, VA
3354,Patrolman Ralph W. Henderson,"Wooster Police Department, OH","Wednesday, July 3, 1912",Gunfire,1912-07-03,1912,False,Wooster Police Department, OH
3355,Special Deputy Sheriff Herbert Paul Nisler,"Conway County Sheriff's Department, AR","Thursday, July 4, 1912",Assault,1912-07-04,1912,False,Conway County Sheriff's Department, AR
3356,Deputy Sheriff Neil Christian,"Harlan County Sheriff's Department, KY","Saturday, July 6, 1912",Gunfire,1912-07-06,1912,False,Harlan County Sheriff's Department, KY
3357,Sergeant James Skinner,"Peoria Police Department, IL","Saturday, July 13, 1912",Gunfire,1912-07-13,1912,False,Peoria Police Department, IL
3358,City Marshal James Eli Parish,"Bennington Police Department, OK","Tuesday, July 23, 1912",Gunfire,1912-07-23,1912,False,Bennington Police Department, OK
3359,Special Agent Robert F. Stringer,"White Oak Railway Police Department, RR","Thursday, July 25, 1912",Gunfire,1912-07-25,1912,False,White Oak Railway Police Department, RR
3360,Officer Charles H. Bates,"San Francisco Police Department, CA","Friday, July 26, 1912",Gunfire,1912-07-26,1912,False,San Francisco Police Department, CA
3361,Police Officer Lloyd N. Robinson,"Detroit Police Department, MI","Saturday, July 27, 1912",Gunfire,1912-07-27,1912,False,Detroit Police Department, MI
3362,Town Marshal Charles Davison,"Columbus Police Department, MT","Sunday, July 28, 1912",Gunfire,1912-07-28,1912,False,Columbus Police Department, MT
3363,Officer Theodore Alonzo Tedford,"Dallas Police Department, TX","Sunday, July 28, 1912",Gunfire,1912-07-28,1912,False,Dallas Police Department, TX
3364,Guard John C. Howard,"Virginia Department of Corrections, VA","Monday, July 29, 1912",Gunfire,1912-07-29,1912,False,Virginia Department of Corrections, VA
3365,Sheriff Charles Stephens,"Red River County Sheriff's Department, TX","Tuesday, July 30, 1912",Gunfire,1912-07-30,1912,False,Red River County Sheriff's Department, TX
3366,"Constable Zebulon ""Zeb"" Winters","Avery County Constable's Office - Elk Park Precinct, NC","Monday, August 5, 1912",Gunfire,1912-08-05,1912,False,Avery County Constable's Office - Elk Park Precinct, NC
3367,"City Marshal Francis Allen ""Frank"" Colclough","Midvale Police Department, UT","Wednesday, August 7, 1912",Gunfire,1912-08-07,1912,False,Midvale Police Department, UT
3368,Deputy Sheriff Norman Helmer,"Beltrami County Sheriff's Department, MN","Thursday, August 8, 1912",Gunfire,1912-08-08,1912,False,Beltrami County Sheriff's Department, MN
3369,"City Marshal Joseph L. ""Joe"" Crixell","Brownsville Police Department, TX","Friday, August 9, 1912",Gunfire,1912-08-09,1912,False,Brownsville Police Department, TX
3370,Patrolman Robert L. Marshall,"Kansas City Police Department, MO","Saturday, August 10, 1912",Gunfire,1912-08-10,1912,False,Kansas City Police Department, MO
3371,Police Officer Carl Besalki,"Decatur Police Department, IL","Monday, August 12, 1912",Gunfire,1912-08-12,1912,False,Decatur Police Department, IL
3372,Police Officer Fred C. Griffin,"Owen Police Department, WI","Wednesday, August 14, 1912",Gunfire,1912-08-14,1912,False,Owen Police Department, WI
3373,Patrolman John W. Powers,"Metropolitan Police Department, MA","Friday, August 16, 1912",Motorcycle accident,1912-08-16,1912,False,Metropolitan Police Department, MA
3374,"Constable William Collins ""Carl"" Brown","Gonzales County Constable's Office - Precinct 7, TX","Sunday, August 18, 1912",Stabbed,1912-08-18,1912,False,Gonzales County Constable's Office - Precinct 7, TX
3375,Deputy Marshal William H. Loud,"Cassville Police Department, WI","Sunday, August 18, 1912",Gunfire,1912-08-18,1912,False,Cassville Police Department, WI
3376,Deputy Sheriff John B. Eastep,"Whitman County Sheriff's Department, WA","Saturday, August 24, 1912",Gunfire,1912-08-24,1912,False,Whitman County Sheriff's Department, WA
3377,Marshal Grant L. Dickinson,"Tekoa Police Department, WA","Saturday, August 24, 1912",Gunfire,1912-08-24,1912,False,Tekoa Police Department, WA
3378,Patrolman Charles Berry,"Scranton Police Department, PA","Tuesday, August 27, 1912",Assault,1912-08-27,1912,False,Scranton Police Department, PA
3379,Town Marshal Olaf Riser,"Miller Marshal's Office, IN","Friday, August 30, 1912",Electrocuted,1912-08-30,1912,False,Miller Marshal's Office, IN
3380,Patrolman M. A. Moore,"Southern Pacific Railroad Police Department, RR","Friday, August 30, 1912",Fall,1912-08-30,1912,False,Southern Pacific Railroad Police Department, RR
3381,Chief of Police Pleasant Clay Oakes,"Raeford Police Department, NC","Saturday, August 31, 1912",Gunfire,1912-08-31,1912,False,Raeford Police Department, NC
3382,Patrolman Clarence Livingston,"Chattanooga Police Department, TN","Sunday, September 1, 1912",Gunfire,1912-09-01,1912,False,Chattanooga Police Department, TN
3383,Officer W. R. Roberts,"Monroe Police Department, LA","Monday, September 2, 1912",Gunfire,1912-09-02,1912,False,Monroe Police Department, LA
3384,Deputy Sheriff Loren J. Veley,"Schoharie County Sheriff's Department, NY","Sunday, September 8, 1912",Gunfire,1912-09-08,1912,False,Schoharie County Sheriff's Department, NY
3385,Town Marshal Josiah M. Hall,"Waldo Police Department, FL","Thursday, September 19, 1912",Gunfire,1912-09-19,1912,False,Waldo Police Department, FL
3386,Special Agent Robert Leo Bowman,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","Thursday, September 19, 1912",Gunfire,1912-09-19,1912,False,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
3387,Policeman David M. Simpson,"Philadelphia Police Department, PA","Saturday, September 21, 1912",Stabbed,1912-09-21,1912,False,Philadelphia Police Department, PA
3388,Deputy Sheriff Albert Munguia,"Graham County Sheriff's Office, AZ","Tuesday, September 24, 1912",Gunfire,1912-09-24,1912,False,Graham County Sheriff's Office, AZ
3389,"Deputy Sheriff Tom ""Jack"" Campbell","Graham County Sheriff's Office, AZ","Tuesday, September 24, 1912",Gunfire,1912-09-24,1912,False,Graham County Sheriff's Office, AZ
3390,Policeman George Freeman,"Philadelphia Police Department, PA","Tuesday, September 24, 1912",Electrocuted,1912-09-24,1912,False,Philadelphia Police Department, PA
3391,Special Deputy Sheriff Richard Emmett Shipp,"Hunt County Sheriff's Office, TX","Sunday, October 6, 1912",Gunfire,1912-10-06,1912,False,Hunt County Sheriff's Office, TX
3392,Assistant Chief of Police John L. Southall,"Greenville Police Department, TX","Sunday, October 6, 1912",Gunfire,1912-10-06,1912,False,Greenville Police Department, TX
3393,Policeman Morgan Morgans,"Lansford Borough Police Department, PA","Wednesday, October 9, 1912",Gunfire,1912-10-09,1912,False,Lansford Borough Police Department, PA
3394,Chief of Police Samuel Stair,"Nuangola Borough Police Department, PA","Friday, October 11, 1912",Gunfire,1912-10-11,1912,False,Nuangola Borough Police Department, PA
3395,Police Officer John J. McGovern,"Newark Police Department, NJ","Sunday, October 13, 1912",Gunfire,1912-10-13,1912,False,Newark Police Department, NJ
3396,City Marshal James H. Murphy,"Fairfax Police Department, OK","Sunday, October 13, 1912",Gunfire,1912-10-13,1912,False,Fairfax Police Department, OK
3397,Detective Joseph  Robert Free,"Houston Police Department, TX","Friday, October 18, 1912",Gunfire,1912-10-18,1912,False,Houston Police Department, TX
3398,City Marshal William Rice,"Winters Police Department, CA","Friday, October 25, 1912",Gunfire,1912-10-25,1912,False,Winters Police Department, CA
3399,Patrolman Albert R. Peterson,"Boston Police Department, MA","Tuesday, October 29, 1912",Gunfire,1912-10-29,1912,False,Boston Police Department, MA
3400,Police Officer John W. Kamphouse,"Chicago and Northwestern Railroad Police Department, RR","Friday, November 1, 1912",Gunfire,1912-11-01,1912,False,Chicago and Northwestern Railroad Police Department, RR
3401,Patrolman Peter Fitzsimons,"New York City Police Department, NY","Friday, November 1, 1912",Struck by vehicle,1912-11-01,1912,False,New York City Police Department, NY
3402,City Marshal Peter Monroe Solomon,"Lancaster Police Department, TX","Saturday, November 2, 1912",Struck by streetcar,1912-11-02,1912,False,Lancaster Police Department, TX
3403,"Constable Tomas ""Tom"" Campbell","Lee County Constable's Office, KY","Tuesday, November 5, 1912",Gunfire,1912-11-05,1912,False,Lee County Constable's Office, KY
3404,Deputy Sheriff Edward Neece,"Bell County Sheriff's Department, KY","Thursday, November 7, 1912",Gunfire,1912-11-07,1912,False,Bell County Sheriff's Department, KY
3405,Patrolman Charles T. Jones,"Chicago Police Department, IL","Sunday, November 10, 1912",Gunfire,1912-11-10,1912,False,Chicago Police Department, IL
3406,Night Watchman Frank David Mayrose,"Pennsylvania Railroad Police Department, RR","Wednesday, November 13, 1912",Struck by train,1912-11-13,1912,False,Pennsylvania Railroad Police Department, RR
3407,Police Officer Toribio Rodriquez,"Brownsville Police Department, TX","Thursday, November 14, 1912",Gunfire,1912-11-14,1912,False,Brownsville Police Department, TX
3408,Police Officer Arthur M. Huddleston,"St. Louis Metropolitan Police Department, MO","Sunday, November 17, 1912",Gunfire,1912-11-17,1912,False,St. Louis Metropolitan Police Department, MO
3409,Patrolman George E. Claus,"Buffalo Police Department, NY","Tuesday, November 19, 1912",Gunfire,1912-11-19,1912,False,Buffalo Police Department, NY
3410,Officer J. A. Mansfield,"Tuscaloosa Police Department, AL","Wednesday, November 20, 1912",Gunfire,1912-11-20,1912,False,Tuscaloosa Police Department, AL
3411,Detective Sergeant John T. Grant,"Erie Police Department, PA","Friday, November 22, 1912",Gunfire,1912-11-22,1912,False,Erie Police Department, PA
3412,Deputy Sheriff George M. Hart,"Clark County Sheriff's Department, KY","Sunday, November 24, 1912",Gunfire,1912-11-24,1912,False,Clark County Sheriff's Department, KY
3413,Sheriff William P. Harris,"DeSoto County Sheriff's Department, MS","Monday, November 25, 1912",Gunfire,1912-11-25,1912,False,DeSoto County Sheriff's Department, MS
